Generation	RGB	HSV	AVERAGE
1	0.12403284	0.11723784	0.12063534
2	0.12094548	0.13954516	0.13024532
3	0.137188	0.140434	0.138811
4	0.137188	0.140434	0.138811
5	0.15096869	0.15638737	0.15367803
6	0.15096869	0.15638737	0.15367803
7	0.15096869	0.15638737	0.15367803
8	0.14526307	0.16928533	0.1572742
9	0.14822637	0.17122409	0.15972523
10	0.14822637	0.17122409	0.15972523
11	0.15554732	0.1757865	0.16566691
12	0.162763	0.17477136	0.16876718
13	0.162763	0.17477136	0.16876718
14	0.15721558	0.1820998	0.16965769
15	0.15721558	0.1820998	0.16965769
16	0.15721558	0.1820998	0.16965769
17	0.16086634	0.18312494	0.17199564
18	0.16006885	0.20307355	0.1815712
19	0.16340414	0.20473258	0.18406836
20	0.17125538	0.21054946	0.19090242
21	0.17578069	0.21464937	0.19521503
22	0.17578069	0.21464937	0.19521503
23	0.18030776	0.2288938	0.20460078
24	0.18030776	0.2288938	0.20460078
25	0.18030776	0.2288938	0.20460078
26	0.18030776	0.2288938	0.20460078
27	0.18030776	0.2288938	0.20460078
28	0.18030776	0.2288938	0.20460078
29	0.18030776	0.2288938	0.20460078
30	0.18030776	0.2288938	0.20460078
31	0.18030776	0.2288938	0.20460078
32	0.18279006	0.23324452	0.20801729
33	0.18849279	0.25396497	0.22122888
34	0.20064774	0.24475576	0.22270175
35	0.20064774	0.24475576	0.22270175
36	0.19155845	0.26653705	0.22904775
37	0.19635149	0.26924235	0.23279692
38	0.19416902	0.27963274	0.23690088
39	0.19416902	0.27963274	0.23690088
40	0.21148385	0.27277301	0.24212843
41	0.20926646	0.27999052	0.24462849
42	0.20926646	0.27999052	0.24462849
43	0.20926646	0.27999052	0.24462849
44	0.20926646	0.27999052	0.24462849
45	0.20623812	0.28472718	0.24548265
46	0.2153138	0.285249	0.2502814
47	0.2254062	0.28383992	0.25462306
48	0.2254062	0.28383992	0.25462306
49	0.2254062	0.28383992	0.25462306
50	0.22259977	0.29683597	0.25971787
51	0.22259977	0.29683597	0.25971787
52	0.22259977	0.29683597	0.25971787
53	0.22259977	0.29683597	0.25971787
54	0.22259977	0.29683597	0.25971787
55	0.22318136	0.29789948	0.26054042
56	0.22762957	0.30275863	0.2651941
57	0.22762957	0.30275863	0.2651941
58	0.22762957	0.30275863	0.2651941
59	0.2331117	0.30184636	0.26747903
60	0.2331117	0.30184636	0.26747903
61	0.23170015	0.31436433	0.27303224
62	0.23170015	0.31436433	0.27303224
63	0.23170015	0.31436433	0.27303224
64	0.23170015	0.31436433	0.27303224
65	0.23170015	0.31436433	0.27303224
66	0.23170015	0.31436433	0.27303224
67	0.23170015	0.31436433	0.27303224
68	0.23170015	0.31436433	0.27303224
69	0.23717733	0.31380903	0.27549318
70	0.23717733	0.31380903	0.27549318
71	0.23717733	0.31380903	0.27549318
72	0.22635501	0.32674509	0.27655005
73	0.22635501	0.32674509	0.27655005
74	0.22635501	0.32674509	0.27655005
75	0.22635501	0.32674509	0.27655005

