Generation	RGB	HSV	AVERAGE
1	0.11354516	0.14337629	0.128460725
2	0.11354516	0.14337629	0.128460725
3	0.10956154	0.1467361	0.12814882
4	0.12802294	0.15596946	0.1419962
5	0.12802294	0.15596946	0.1419962
6	0.1386913	0.16322848	0.15095989
7	0.1386913	0.16322848	0.15095989
8	0.10452894	0.17224212	0.13838553
9	0.16018611	0.17884681	0.16951646
10	0.11648155	0.18852762	0.152504585
11	0.14435851	0.18904627	0.16670239
12	0.13796089	0.19152452	0.164742705
13	0.12944469	0.20025595	0.16485032
14	0.14056527	0.20259696	0.171581115
15	0.14056527	0.20259696	0.171581115
16	0.12709535	0.20933011	0.16821273
17	0.12709535	0.20933011	0.16821273
18	0.12709535	0.20933011	0.16821273
19	0.15220638	0.2136789	0.18294264
20	0.15220638	0.2136789	0.18294264
21	0.14516751	0.21555505	0.18036128
22	0.14516751	0.21555505	0.18036128
23	0.13941814	0.22247952	0.18094883
24	0.1413453	0.22324122	0.18229326
25	0.13582082	0.22547834	0.18064958
26	0.14236733	0.23180787	0.1870876
27	0.14236733	0.23180787	0.1870876
28	0.15412423	0.23412149	0.19412286
29	0.14687496	0.23669533	0.191785145
30	0.15332477	0.24650845	0.19991661
31	0.15332477	0.24650845	0.19991661
32	0.15332477	0.24650845	0.19991661
33	0.15332477	0.24650845	0.19991661
34	0.15318254	0.2466789	0.19993072
35	0.15179803	0.2478082	0.199803115
36	0.16041716	0.25120198	0.20580957
37	0.16097575	0.25430757	0.20764166
38	0.16097575	0.25430757	0.20764166
39	0.16097575	0.25430757	0.20764166
40	0.16097575	0.25430757	0.20764166
41	0.15691579	0.25808508	0.207500435
42	0.15691579	0.25808508	0.207500435
43	0.15691579	0.25808508	0.207500435
44	0.1707784	0.27221977	0.221499085
45	0.1707784	0.27221977	0.221499085
46	0.16808326	0.27233922	0.22021124
47	0.16808326	0.27233922	0.22021124
48	0.16808326	0.27233922	0.22021124
49	0.16935548	0.27304411	0.221199795
50	0.16935548	0.27304411	0.221199795
51	0.17033398	0.27415796	0.22224597
52	0.17482756	0.27468761	0.224757585
53	0.17482756	0.27468761	0.224757585
54	0.17316315	0.27889772	0.226030435
55	0.17316315	0.27889772	0.226030435
56	0.17316315	0.27889772	0.226030435
57	0.17316315	0.27889772	0.226030435
58	0.17619192	0.28044907	0.228320495
59	0.17619192	0.28044907	0.228320495
60	0.17619192	0.28044907	0.228320495
61	0.17619192	0.28044907	0.228320495
62	0.17619192	0.28044907	0.228320495
63	0.17619192	0.28044907	0.228320495
64	0.17696874	0.28192607	0.229447405
65	0.17696874	0.28192607	0.229447405
66	0.18043349	0.28592242	0.233177955
67	0.19011832	0.2901701	0.24014421
68	0.19011832	0.2901701	0.24014421
69	0.18859567	0.29328023	0.24093795
70	0.18859567	0.29328023	0.24093795
71	0.19067882	0.2935194	0.24209911
72	0.19067882	0.2935194	0.24209911
73	0.19067882	0.2935194	0.24209911
74	0.19067882	0.2935194	0.24209911
75	0.20283382	0.29556318	0.2491985

